자치구, 일자, 단위면적(㎡)당 매매가(만원),단위면적(㎡)당 전세가(만원), 출생자 수
서대문구,2017-01,600,503,203
서대문구,2017-02,592,524,171
서대문구,2017-03,582,501,178
서대문구,2017-04,625,511,178
서대문구,2017-05,649,510,138
서대문구,2017-06,656,532,155
서대문구,2017-07,664,512,151
서대문구,2017-08,670,487,182
서대문구,2017-09,704,512,144
서대문구,2017-10,707,526,143
서대문구,2017-11,702,534,120
서대문구,2017-12,723,543,148
서대문구,2018-01,727,549,167
서대문구,2018-02,702,524,135
서대문구,2018-03,668,515,169
서대문구,2018-04,695,506,141
서대문구,2018-05,673,450,141
서대문구,2018-06,733,517,128
서대문구,2018-07,709,471,146
서대문구,2018-08,796,554,145
서대문구,2018-09,790,510,130
서대문구,2018-10,741,525,126
서대문구,2018-11,690,499,110
서대문구,2018-12,813,544,109
서대문구,2019-01,729,534,138
서대문구,2019-02,750,537,121
서대문구,2019-03,767,521,135
서대문구,2019-04,776,501,139
서대문구,2019-05,826,549,125
서대문구,2019-06,904,554,134
서대문구,2019-07,986,561,130
서대문구,2019-08,940,521,115
서대문구,2019-09,960,543,128
서대문구,2019-10,889,562,122
서대문구,2019-11,986,552,106
서대문구,2019-12,985,574,128
서대문구,2020-01,917,565,177
서대문구,2020-02,907,556,116
서대문구,2020-03,882,555,124
서대문구,2020-04,840,565,129
서대문구,2020-05,922,537,146
서대문구,2020-06,1016,579,125
서대문구,2020-07,1081,580,123
서대문구,2020-08,1118,678,131
서대문구,2020-09,1134,642,139
서대문구,2020-10,1090,662,109
서대문구,2020-11,1180,660,114
서대문구,2020-12,1262,676,100
서대문구,2021-01,1265,674,102
서대문구,2021-02,1174,654,128
서대문구,2021-03,1137,653,132
서대문구,2021-04,1122,678,117
서대문구,2021-05,1208,679,127
서대문구,2021-06,1232,721,117
서대문구,2021-07,1335,695,134
서대문구,2021-08,1353,703,123
서대문구,2021-09,1377,692,116
서대문구,2021-10,1360,697,114
서대문구,2021-11,1230,680,125
서대문구,2021-12,1240,716,117
